question_id,category,f_is_except_ask,f_is_best_answer_judgment,f_is_hypothetical_scenario,f_is_definition_ask,f_is_formula_setup,f_stem_word_count,f_is_long_scenario,f_mc_option_count,f_option_mean_chars,f_option_length_spread,f_has_escape_option,q_fail
8058,math,False,False,False,True,False,15,False,10,2.4,0.699205898780101,False,0.0
7952,math,False,False,False,False,False,23,False,10,13.2,1.9888578520235063,False,0.14285714285714285
7999,math,False,False,False,False,True,16,False,10,3.5,0.5270462766947299,False,0.0
8324,math,False,False,False,False,True,38,False,10,9.4,5.680375574437544,False,0.07142857142857142
8269,math,False,False,False,False,False,22,False,10,25.7,5.6381636096240495,False,0.07142857142857142
8474,math,False,False,False,False,False,59,False,10,3.8,0.4216370213557839,False,0.0
8992,math,False,False,False,False,False,19,False,10,4.9,0.31622776601683794,False,0.0
8446,math,False,False,False,False,False,42,False,8,84.875,19.05209024902892,False,0.07142857142857142
8215,math,False,False,False,False,True,65,False,10,6.2,0.6324555320336759,False,0.35714285714285715
7763,math,False,False,False,False,False,29,False,10,2.4,0.5163977794943223,False,0.07142857142857142
8098,math,False,False,True,False,True,113,True,10,14.2,0.6324555320336759,False,0.5714285714285714
8033,math,False,False,False,True,False,8,False,10,15.0,0.0,False,0.07142857142857142
8607,math,False,False,False,False,False,27,False,10,3.0,0.0,False,0.0
8241,math,False,False,False,False,False,33,False,10,3.0,0.0,False,0.0
8319,math,False,False,False,True,False,11,False,10,6.1,11.110055505411903,False,0.0
7730,math,False,False,False,False,False,13,False,10,3.7,3.3015148038438356,False,0.14285714285714285
7996,math,False,False,False,False,True,50,False,10,8.0,0.0,False,0.0
7802,math,False,False,False,False,True,53,False,10,68.9,22.26831331236782,False,0.14285714285714285
9032,math,False,False,False,False,False,23,False,10,4.0,0.0,False,0.14285714285714285
8068,math,False,False,False,False,False,24,False,10,3.4,0.5163977794943223,False,0.07142857142857142
10287,physics,False,False,False,False,False,49,False,10,5.0,0.0,False,0.14285714285714285
9622,physics,False,False,True,False,False,34,False,10,15.0,0.0,False,0.42857142857142855
10219,physics,False,False,False,False,False,53,False,10,11.1,1.66332999331662,False,0.14285714285714285
9767,physics,False,False,False,False,False,11,False,10,85.9,8.5693251387337,False,0.07142857142857142
9605,physics,False,False,False,False,False,45,False,10,21.4,1.2649110640673518,False,0.42857142857142855
9674,physics,False,False,False,False,False,29,False,10,6.1,0.31622776601683794,False,0.0
9947,physics,False,False,False,False,False,8,False,10,25.5,6.150880695748645,False,0.0
10056,physics,False,False,False,False,False,52,False,10,65.7,16.1936201429246,False,0.0
9390,physics,False,False,True,False,False,31,False,10,14.1,0.7378647873726218,False,0.0
9874,physics,False,False,False,False,False,16,False,10,20.9,5.566766466171263,False,0.07142857142857142
10048,physics,False,False,False,False,False,54,False,10,44.5,7.604823031033223,False,0.9285714285714286
9159,physics,False,False,False,False,False,41,False,10,18.9,0.31622776601683794,False,0.0
9801,physics,False,False,False,True,False,27,False,10,4.0,0.0,False,0.0
10167,physics,False,False,False,False,False,20,False,10,18.0,12.064640713902572,False,0.0
9864,physics,False,False,False,False,False,73,False,10,216.3,1.4944341180973262,False,0.07142857142857142
9817,physics,False,False,False,False,False,71,False,10,3.5,0.5270462766947299,False,0.0
9582,physics,False,False,False,False,True,51,False,10,26.9,0.31622776601683794,False,0.0
9940,physics,False,False,False,False,False,30,False,10,5.3,2.8693785622209793,False,0.0
10274,physics,False,False,False,False,True,54,False,10,12.2,6.303438215238834,False,0.07142857142857142
9663,physics,False,False,False,True,False,11,False,10,17.0,0.0,False,0.0
4315,chemistry,False,False,False,False,False,41,False,10,11.8,0.4216370213557839,False,0.07142857142857142
4433,chemistry,False,False,False,False,False,48,False,10,12.6,1.776388345929897,False,0.2857142857142857
