feature,spearman,abs_spearman,p,coverage,q,significant
f_is_long_scenario,0.15524842769313127,0.15524842769313127,0.009268820644651486,1.0,0.8215430975793487,False
f_domain_hint=legal,0.1431931559885338,0.1431931559885338,0.016497023727764182,1.0,0.8215430975793487,False
f_aggregation_flag,0.13809266662540945,0.13809266662540945,0.020806343194169928,1.0,0.8215430975793487,False
f_has_escape_option,0.13312176754894023,0.13312176754894023,0.025913112534286024,1.0,0.8215430975793487,False
f_question_type=what,-0.12026727475083783,0.12026727475083783,0.044351041026333714,1.0,0.8215430975793487,False
f_oov_like_count,0.12025273799144756,0.12025273799144756,0.04437691937962368,1.0,0.8215430975793487,False
f_language_confidence,-0.11434573515512536,0.11434573515512536,0.055993866560143185,1.0,0.8215430975793487,False
f_is_definition_ask,-0.11069902531999382,0.11069902531999382,0.06434937910849907,1.0,0.8215430975793487,False
f_mtld,-0.10914182883256907,0.10914182883256907,0.06821658926042494,1.0,0.8215430975793487,False
f_is_except_ask,0.10867788594499521,0.10867788594499521,0.06940483657849918,1.0,0.8215430975793487,False
f_has_relative_recency,-0.10845800217644727,0.10845800217644727,0.06997387735306182,1.0,0.8215430975793487,False
f_non_ascii_ratio,-0.10456438354197306,0.10456438354197306,0.08069621559818213,1.0,0.8215430975793487,False
f_min_word_zipf,-0.10255436811775631,0.10255436811775631,0.08673000019539626,1.0,0.8215430975793487,False
f_is_best_answer_judgment,0.10016715139437894,0.10016715139437894,0.0943610398265042,1.0,0.8215430975793487,False
f_year_count,0.09936079557874734,0.09936079557874734,0.09705639197844042,1.0,0.8215430975793487,False
f_stem_word_count,0.09857154595583875,0.09857154595583875,0.09975350854296079,1.0,0.8215430975793487,False
f_vague_quantifiers_count,0.0983628630003747,0.0983628630003747,0.10047649394855344,1.0,0.8215430975793487,False
f_is_multi_part,-0.0916902222972488,0.0916902222972488,0.1258600536391391,1.0,0.922171074995939,False
f_context_token_count,0.09164390900606201,0.09164390900606201,0.12605216133038014,1.0,0.922171074995939,False
f_domain_hint=finance,-0.08907517139394046,0.08907517139394046,0.13706714692733396,1.0,0.9223863639679456,False
f_type_token_ratio,-0.08772336294058865,0.08772336294058865,0.1431529625476868,1.0,0.9223863639679456,False
f_is_yes_no_question,0.0855560269864068,0.0855560269864068,0.15333760836449215,1.0,0.9223863639679456,False
f_content_word_count,0.08476906473495721,0.08476906473495721,0.15716827186070145,1.0,0.9223863639679456,False
f_underspecification_score,-0.08365502366809084,0.08365502366809084,0.16271379424053642,1.0,0.9223863639679456,False
f_contains_negation,0.0799073504573938,0.0799073504573938,0.18244745203767596,1.0,0.9223863639679456,False
f_question_length_chars,0.07951535472286773,0.07951535472286773,0.18460933860703002,1.0,0.9223863639679456,False
f_max_word_len,0.07930396502643103,0.07930396502643103,0.18578296642653233,1.0,0.9223863639679456,False
f_question_length_words,0.07930010511186465,0.07930010511186465,0.18580444741800342,1.0,0.9223863639679456,False
f_rare_word_count,0.07754500361848775,0.07754500361848775,0.19576206083786304,1.0,0.9348843177130236,False
