flag,n_true,fail_true,fail_false,diff,ci_lo,ci_hi,excludes_zero
f_is_except_ask,11,0.4272727272727273,0.19591078066914497,0.23136194660358234,-0.01845217979046975,0.48919595584093695,False
f_is_best_answer_judgment,15,0.41777777777777775,0.1929559748427673,0.22482180293501045,0.017464360587002063,0.42924633123689715,True
f_is_long_scenario,43,0.29767441860465116,0.18818565400843884,0.10948876459621232,0.010907990710757834,0.21941222647433986,True
f_has_relative_recency,28,0.11071428571428572,0.2154761904761905,-0.10476190476190476,-0.1748677248677249,-0.023660714285714386,True
f_aggregation_flag,92,0.26666666666666666,0.174822695035461,0.09184397163120567,0.010040471785383922,0.1675832562442183,True
f_has_output_format_request,8,0.12083333333333332,0.20747549019607844,-0.08664215686274512,-0.180655637254902,0.025756740196078307,False
f_is_multi_part,34,0.12941176470588234,0.21544715447154472,-0.08603538976566238,-0.17059421329507413,0.013710345926988653,False
f_has_code_span,16,0.275,0.20075757575757575,0.07424242424242428,-0.08434974747474747,0.23972537878787872,False
f_is_definition_ask,24,0.15416666666666665,0.20976562499999998,-0.05559895833333334,-0.17856770833333332,0.08763563368055549,False
f_causal_flag,62,0.24731182795698925,0.19296636085626911,0.054345467100720135,-0.03231589720824705,0.13992527374962996,False
f_conditional_flag,58,0.16494252873563217,0.21546546546546544,-0.05052293672983327,-0.12354962721342032,0.0322096665631147,False
f_has_math_expression,76,0.1692982456140351,0.21830065359477124,-0.04900240798073616,-0.11773692810457513,0.02526337289301661,False
f_contains_negation,96,0.23541666666666664,0.1891304347826087,0.04628623188405795,-0.02807442632850242,0.12218297101449273,False
f_is_wh_question,190,0.19070175438596493,0.2351851851851852,-0.044483430799220264,-0.12466520467836256,0.02830701754385967,False
f_has_citation_request,12,0.17222222222222225,0.20646766169154226,-0.034245439469320016,-0.19743055555555555,0.17172678275290218,False
f_has_enumeration_request,25,0.17600000000000002,0.20784313725490197,-0.031843137254901954,-0.13482483660130717,0.08374183006535948,False
f_is_comparison,49,0.22993197278911567,0.1997113997113997,0.030220573077715973,-0.05986755308183882,0.11872345908060192,False
f_requires_synthesis_flag,15,0.23333333333333334,0.20339622641509433,0.029937106918239004,-0.12805974842767295,0.20956498951781966,False
f_is_hypothetical_scenario,22,0.2318181818181818,0.20271317829457364,0.029105003523608175,-0.09971987315010573,0.16177736669015733,False
f_has_length_limit,36,0.18055555555555558,0.2086065573770492,-0.028051001821493615,-0.11591150576806312,0.06807946265938077,False
f_has_dangling_reference,90,0.18629629629629632,0.21385964912280703,-0.027563352826510706,-0.0955214424951267,0.04378752436647171,False
f_is_formula_setup,39,0.18205128205128204,0.20871369294605807,-0.02666241089477603,-0.11505275383906088,0.06658873284391953,False
f_has_date_like,10,0.18,0.2059259259259259,-0.025925925925925908,-0.15791666666666668,0.1429814814814814,False
f_has_exclusion,20,0.22166666666666668,0.20371794871794874,0.01794871794871794,-0.11975961538461537,0.16848076923076907,False
f_is_imperative,80,0.21541666666666667,0.20083333333333336,0.01458333333333331,-0.05951249999999997,0.08958541666666664,False
f_has_temporal_constraint,147,0.20816326530612245,0.20150375939849624,0.006659505907626206,-0.061668456856426794,0.07649331662489554,False
